Regra;Severidade;Peso;Arquivo;Linha;Código
WOW003;Alto;75;Engine/OptimizationEngine.lua;136;StaticPopupDialogs = StaticPopupDialogs or {}
WOW003;Alto;75;Engine/OptimizationEngine.lua;137;"StaticPopupDialogs[""RILU_APPLY_ALL_CONFLICTS""] = StaticPopupDialogs[""RILU_APPLY_ALL_CONFLICTS""] or {"
WOW003;Alto;75;UI/SmartSetup.lua;151;StaticPopupDialogs = StaticPopupDialogs or {}
WOW003;Alto;75;UI/SmartSetup.lua;152;"StaticPopupDialogs[""RILU_REPLACE_BINDING""] = StaticPopupDialogs[""RILU_REPLACE_BINDING""] or {"
WOW004;Alto;70;UI/Options.lua;168;if Settings and Settings.RegisterCanvasLayoutCategory and Settings.RegisterAddOnCategory then
WOW004;Alto;70;UI/Options.lua;169;"local category = Settings.RegisterCanvasLayoutCategory(panel, ""RIL Universal"")"
WOW004;Alto;70;UI/Options.lua;170;Settings.RegisterAddOnCategory(category)
WOW004;Alto;70;UI/Options.lua;181;if Settings and Settings.OpenToCategory and RILU.Options.category then
WOW004;Alto;70;UI/Options.lua;190;if id then ok = pcall(Settings.OpenToCategory, id) end
WOW005;Alto;65;Engine/LayoutScanner.lua;73;-- v3.5.2 Stability: NÃO acessa mais _G[buttonName], button:GetPagedID(), button.action ou GetAttribute().
WOW010;Médio;35;Core/Commands.lua;39;"SlashCmdList[""RILU""] = function(msg)"
WOW007;Baixo;15;Core/BehaviorAnalyzer.lua;174;"local frame = CreateFrame(""Frame"")"
WOW007;Baixo;15;Core/ForensicAudit.lua;71;function F.CreateFrame(frameType, name, parent, template, id)
WOW007;Baixo;15;Core/Init.lua;9;"local f = CreateFrame(""Frame"")"
WOW007;Baixo;15;Core/Utils.lua;67;"local f = CreateFrame(""Frame"", ""RILUniversalFrame"", UIParent, ""BasicFrameTemplateWithInset"")"
WOW007;Baixo;15;Core/Utils.lua;79;"local scroll = CreateFrame(""ScrollFrame"", nil, f, ""UIPanelScrollFrameTemplate"")"
WOW007;Baixo;15;Core/Utils.lua;84;"local eb = CreateFrame(""EditBox"", nil, scroll)"
WOW007;Baixo;15;Core/Utils.lua;171;"local bar = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;Core/Utils.lua;181;"bar.border = CreateFrame(""Frame"", nil, bar, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/AutoOptimize.lua;42;"local f = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/AutoOptimize.lua;80;"local apply = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/AutoOptimize.lua;92;"local undo = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/AutoOptimize.lua;104;"local refresh = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/AutoOptimize.lua;115;"local scroll = CreateFrame(""ScrollFrame"", nil, f, ""UIPanelScrollFrameTemplate"")"
WOW007;Baixo;15;UI/AutoOptimize.lua;119;"local child = CreateFrame(""Frame"", nil, scroll)"
WOW007;Baixo;15;UI/AutoOptimize.lua;126;"local row = CreateFrame(""Frame"", nil, child)"
